Package,Dependency
acc,mhsmm
acc,zoo
acc,PhysicalActivity
acc,nleqslv
acc,plyr
acc,methods
acc,DBI
acc,RSQLite
acc,circlize
acc,ggplot2
acc,R.utils
acc,iterators
acc,Rcpp
acc,RcppArmadillo
accelerometry,Rcpp
accelerometry,dvmisc
accelerometry,knitr
accelerometry,rmarkdown
accelerometry,pander
adehabitatHR,sp
adehabitatHR,methods
adehabitatHR,deldir
adehabitatHR,ade4
adehabitatHR,adehabitatMA
adehabitatHR,adehabitatLT
adehabitatHR,graphics
adehabitatHR,grDevices
adehabitatHR,stats
adehabitatHR,maptools
adehabitatHR,tkrplot
adehabitatHR,MASS
adehabitatHR,rgeos
adehabitatHS,sp
adehabitatHS,methods
adehabitatHS,ade4
adehabitatHS,adehabitatMA
adehabitatHS,adehabitatHR
adehabitatHS,graphics
adehabitatHS,grDevices
adehabitatHS,stats
adehabitatHS,maptools
adehabitatHS,tkrplot
adehabitatHS,MASS
adehabitatHS,rgeos
adehabitatLT,sp
adehabitatLT,methods
adehabitatLT,ade4
adehabitatLT,adehabitatMA
adehabitatLT,CircStats
adehabitatLT,stats
adehabitatLT,graphics
adehabitatLT,grDevices
adehabitatLT,utils
adehabitatLT,maptools
adehabitatLT,tkrplot
adehabitatLT,MASS
amt,broom
amt,circular
amt,dplyr
amt,fitdistrplus
amt,FNN
amt,geosphere
amt,graphics
amt,grDevices
amt,KernSmooth
amt,lazyeval
amt,leaflet
amt,lubridate
amt,magrittr
amt,maptools
amt,methods
amt,purrr
amt,raster
amt,Rcpp
amt,rgeos
amt,rlang
amt,sp
amt,stats
amt,survival
amt,tibble
amt,tidyr
amt,utils
amt,adehabitatLT
amt,bcpa
amt,ctmm
amt,devtools
amt,move
amt,moveHMM
amt,spacetime
amt,testthat
amt,trajectories
amt,knitr
amt,Rdpack
amt,rmarkdown
animalTrack,rgl
anipaths,animation
anipaths,knitr
anipaths,RColorBrewer
anipaths,scales
anipaths,sp
anipaths,rgdal
anipaths,mgcv
anipaths,grDevices
anipaths,ggmap
anipaths,ellipse
anipaths,igraph
argosfilter,-
argosTrack,TMB
argosTrack,stats
argosTrack,methods
argosTrack,grDevices
argosTrack,graphics
argosTrack,RcppEigen
argosTrack,knitr
argosTrack,rmarkdown
argosTrack,testthat
argosTrack,inline
BayesianAnimalTracker,TrackReconstruction
BBMM,-
bcpa,Rcpp
bcpa,plyr
bcpa,knitr
bcpa,circular
bsam,rjags
bsam,coda
bsam,dplyr
bsam,ggplot2
bsam,gridExtra
bsam,msm
bsam,mvtnorm
bsam,rworldxtra
bsam,sp
bsam,tibble
bsam,lubridate
caribou,-
crawl,mvtnorm
crawl,Rcpp
crawl,methods
crawl,shiny
crawl,dplyr
crawl,raster
crawl,gdistance
crawl,rmapshaper
crawl,sp
crawl,sf
crawl,magrittr
crawl,lubridate
crawl,tibble
crawl,purrr
crawl,RcppArmadillo
crawl,ggplot2
crawl,rgdal
crawl,argosfilter
crawl,tidyr
crawl,xts
crawl,broom
crawl,doParallel
ctmcmove,raster
ctmcmove,Matrix
ctmcmove,fda
ctmcmove,gdistance
ctmcmove,sp
ctmcmove,mgcv
ctmcmove,dismo
ctmcmove,crawl
ctmm,data.table
ctmm,expm
ctmm,fasttime
ctmm,Gmedian
ctmm,graphics
ctmm,grDevices
ctmm,manipulate
ctmm,MASS
ctmm,methods
ctmm,numDeriv
ctmm,pbivnorm
ctmm,pracma
ctmm,raster
ctmm,rgdal
ctmm,scales
ctmm,shape
ctmm,stats
ctmm,utils
ctmm,bit64
ctmm,fftw
ctmm,knitr
ctmm,move
ctmm,parallel
ctmm,sp
divemove,methods
divemove,stats4
divemove,caTools
divemove,KernSmooth
divemove,quantreg
divemove,uniReg
divemove,geosphere
divemove,knitr
divemove,lattice
divemove,tcltk
drtracker,Cairo
drtracker,ggplot2
drtracker,plyr
drtracker,alphahull
drtracker,fossil
drtracker,KernSmooth
drtracker,RANN
drtracker,reshape2
drtracker,SDMTools
drtracker,testthat
EMbC,Rcpp
EMbC,sp
EMbC,methods
EMbC,RColorBrewer
EMbC,mnormt
EMbC,maptools
EMbC,RcppArmadillo
EMbC,move
EMbC,rgl
EMbC,knitr
feedr,DT
feedr,curl
feedr,DBI
feedr,dplyr
feedr,ggplot2
feedr,ggmap
feedr,htmltools
feedr,leaflet
feedr,lubridate
feedr,magrittr
feedr,maptools
feedr,purrr
feedr,RCurl
feedr,RPostgreSQL
feedr,scales
feedr,shiny
feedr,shinyBS
feedr,shinyjs
feedr,stringr
feedr,tibble
feedr,tidyr
feedr,xml2
feedr,aniDom
feedr,asnipe
feedr,Dominance
feedr,knitr
feedr,lazyeval
feedr,Perc
feedr,rmarkdown
feedr,sp
feedr,testthat
FLightR,bit
FLightR,ggsn
FLightR,ggmap
FLightR,ggplot2
FLightR,CircStats
FLightR,circular
FLightR,GeoLight
FLightR,fields
FLightR,maptools
FLightR,methods
FLightR,mgcv
FLightR,nlme
FLightR,parallel
FLightR,raster
FLightR,RcppArmadillo
FLightR,rgdal
FLightR,rgeos
FLightR,sp
FLightR,truncnorm
FLightR,covr
FLightR,testthat
FLightR,knitr
FLightR,rmarkdown
GeoLight,maps
GeoLight,changepoint
GeoLight,fields
GeoLight,MASS
GeoLight,knitr
GGIR,stats
GGIR,utils
GGIR,data.table
GGIR,Rcpp
GGIR,MASS
GGIR,signal
GGIR,zoo
GGIR,mmap
GGIR,bitops
GGIR,matlab
GGIR,GENEAread
GGIR,tuneR
GGIR,testthat
GGIR,covr
GGIR,knitr
GGIR,rmarkdown
hab,adehabitatLT
hab,adehabitatHR
hab,adehabitatMA
hab,survival
hab,tkrplot
HMMoce,dplyr
HMMoce,fields
HMMoce,foreach
HMMoce,imager
HMMoce,locfit
HMMoce,lubridate
HMMoce,maptools
HMMoce,raster
HMMoce,RColorBrewer
HMMoce,rgeos
HMMoce,RNetCDF
HMMoce,sp
HMMoce,parallel
HMMoce,doParallel
HMMoce,curl
HMMoce,methods
HMMoce,knitr
HMMoce,rmarkdown
HMMoce,png
HMMoce,grid
kftrack,-
m2b,geosphere
m2b,caTools
m2b,ggplot2
m2b,randomForest
m2b,e1071
m2b,caret
m2b,methods
m2b,graphics
m2b,stats
m2b,utils
m2b,adehabitatLT
m2b,moveHMM
m2b,knitr
m2b,DiagrammeR
m2b,rmarkdown
marcher,stats
marcher,Matrix
marcher,graphics
marcher,grDevices
marcher,plyr
marcher,mvtnorm
marcher,RColorBrewer
marcher,minpack.lm
marcher,zoo
marcher,numDeriv
marcher,magrittr
marcher,scales
marcher,knitr
marcher,rmarkdown
marcher,lubridate
migrateR,adehabitatLT
migrateR,car
migrateR,knitr
mkde,Rcpp
mkde,raster
mkde,sp
momentuHMM,Rcpp
momentuHMM,doParallel
momentuHMM,foreach
momentuHMM,numDeriv
momentuHMM,CircStats
momentuHMM,crawl
momentuHMM,ggmap
momentuHMM,ggplot2
momentuHMM,mitools
momentuHMM,moveHMM
momentuHMM,raster
momentuHMM,argosfilter
momentuHMM,car
momentuHMM,mvtnorm
momentuHMM,boot
momentuHMM,sp
momentuHMM,MASS
momentuHMM,Brobdingnag
momentuHMM,gstat
momentuHMM,conicfit
momentuHMM,nleqslv
momentuHMM,survival
momentuHMM,qdapRegex
momentuHMM,geosphere
momentuHMM,LaplacesDemon
momentuHMM,prodlim
momentuHMM,dplyr
momentuHMM,magrittr
momentuHMM,RcppArmadillo
momentuHMM,testthat
momentuHMM,setRNG
momentuHMM,knitr
momentuHMM,splines
momentuHMM,splines2
move,geosphere
move,methods
move,sp
move,raster
move,rgdal
move,httr
move,xml2
move,Rcpp
move,adehabitatHR
move,adehabitatLT
move,circular
move,ggmap
move,mapproj
move,maptools
move,testthat
moveHMM,CircStats
moveHMM,Rcpp
moveHMM,boot
moveHMM,MASS
moveHMM,sp
moveHMM,geosphere
moveHMM,ggplot2
moveHMM,ggmap
moveHMM,numDeriv
moveHMM,testthat
moveHMM,knitr
moveHMM,RcppArmadillo
movementAnalysis,adehabitat
movementAnalysis,adehabitatLT
movementAnalysis,sp
movementAnalysis,maptools
movementAnalysis,lmomco
movementAnalysis,OpenCL
moveNT,raster
moveNT,sp
moveNT,adehabitatLT
moveNT,igraph
moveNT,mclust
moveNT,moveHMM
moveNT,uuid
moveVis,maptools
moveVis,ggplot2
moveVis,grid
moveVis,rasterVis
moveVis,raster
moveVis,sp
moveVis,geosphere
moveVis,dismo
moveVis,utils
moveVis,grDevices
moveVis,methods
moveVis,stats
moveVis,move
moveVis,RCurl
moveVis,gridExtra
moveVis,graphics
moveVis,simecol
moveVis,plyr
moveVis,zoo
moveVis,lubridate
moveVis,parallel
moveVis,pbapply
moveVis,RStoolbox
moveWindSpeed,methods
moveWindSpeed,move
moveWindSpeed,Rcpp
moveWindSpeed,testthat
moveWindSpeed,knitr
moveWindSpeed,rmarkdown
nparACT,ggplot2
nparACT,grid
nparACT,stringr
nparACT,zoo
nparACT,tools
pathtrackr,ggplot2
pathtrackr,plyr
pathtrackr,pbapply
pathtrackr,abind
pathtrackr,cluster
pathtrackr,gridExtra
pathtrackr,jpeg
pathtrackr,EBImage
pathtrackr,imager
pathtrackr,viridis
pathtrackr,marmap
pathtrackr,rgdal
pathtrackr,raster
pawacc,stats
pawacc,utils
pawacc,graphics
pawacc,SparseM
PhysicalActivity,RSQLite
PhysicalActivity,DBI
probGLS,GeoLight
probGLS,geosphere
probGLS,raster
probGLS,ncdf4
probGLS,stringr
rbl,data.table
rbl,RcppRoll
rbl,signal
rbl,sqldf
rbl,fields
rbl,knitr
rbl,sp
rbl,testthat
rbl,manipulate
recurse,Rcpp
recurse,testthat
recurse,circular
recurse,prevR
recurse,scales
recurse,fields
recurse,methods
recurse,move
recurse,knitr
recurse,rmarkdown
recurse,sp
recurse,rgeos
rhr,grid
rhr,maptools
rhr,raster
rhr,adehabitatHR
rhr,adehabitatLT
rhr,ggplot2
rhr,graphics
rhr,gridExtra
rhr,KernSmooth
rhr,lubridate
rhr,mixtools
rhr,mvtnorm
rhr,rgdal
rhr,rgeos
rhr,reshape2
rhr,sp
rhr,spacetime
rhr,stringr
rhr,trajectories
rhr,zoo
rhr,shiny
rhr,knitr
rhr,markdown
rhr,testthat
rhr,shinyBS
rhr,brew
rhr,xtable
rpostgisLT,DBI
rpostgisLT,RPostgreSQL
rpostgisLT,rpostgis
rpostgisLT,adehabitatLT
rpostgisLT,sp
rpostgisLT,lubridate
rpostgisLT,shiny
rpostgisLT,leaflet
rpostgisLT,htmltools
rpostgisLT,mapview
rpostgisLT,shinyWidgets
rpostgisLT,magrittr
rpostgisLT,sf
rpostgisLT,knitr
rpostgisLT,raster
rpostgisLT,rmarkdown
rpostgisLT,testthat
rsMove,raster
rsMove,sp
rsMove,caret
rsMove,rgdal
rsMove,gdalUnits
rsMove,ggplot2
rsMove,grDevices
rsMove,RCurl
rsMove,spatialEco
rsMove,lubridate
rsMove,pryr
rsMove,igraph
rsMove,lattice
rsMove,randomForest
rsMove,knitr
rsMove,rmarkdown
rsMove,kableExtra
rsMove,imager
rsMove,devtools
SDLfilter,ggplot2
SDLfilter,raster
SDLfilter,trip
SDLfilter,data.table
SDLfilter,geosphere
SDLfilter,sp
SDLfilter,ggmap
SDLfilter,gridExtra
SDLfilter,ggsn
SDLfilter,stats
SGAT,stats
SGAT,utils
SGAT,MASS
SGAT,maptools
SGAT,raster
SGAT,sp
SGAT,coda
SGAT,GeoLight
SGAT,geosphere
SGAT,rgdal
SimilarityMeasures,-
SiMRiv,raster
SiMRiv,methods
SiMRiv,stats
SiMRiv,sp
SiMRiv,mco
SiMRiv,parallel
SiMRiv,rgdal
SiMRiv,adehabitatLT
SiMRiv,moveHMM
SiMRiv,rgeos
SiMRiv,testthat
smam,stats
smam,methods
smam,Matrix
smam,numDeriv
smam,Rcpp
SwimR,methods
SwimR,gplots
SwimR,heatmap.plus
SwimR,signal
SwimR,R2HTML
T-LoCoH,sp
T-LoCoH,FNN
T-LoCoH,pbapply
T-LoCoH,rgeos
T-LoCoH,rgdal
T-LoCoH,move
T-LoCoH,png
T-LoCoH,raster
T-LoCoH,gpclib
T-LoCoH,XML
T-LoCoH,dismo
telemetr,lattice
telemetr,sp
telemetr,plyr
trackdem,png
trackdem,SDMTools
trackdem,neuralnet
trackdem,raster
trackdem,Rcpp
trackdem,MASS
trackdem,grDevices
trackdem,graphics
trackdem,stats
trackdem,testthat
trackdem,shiny
trackdem,RcppArmadillo
trackdem,knitr
trackdem,rmarkdown
trackeR,zoo
trackeR,plotly
trackeR,ggplot2
trackeR,ggridges
trackeR,DT
trackeR,mgcv
trackeR,parallel
trackeR,XML
trackeR,RSQLite
trackeR,jsonlite
trackeR,raster
trackeR,scam
trackeR,fda
trackeR,ggmap
trackeR,leaflet
trackeR,gridExtra
trackeR,gtable
trackeR,shinyFiles
trackeR,shiny
trackeR,shinyjs
trackeR,shinycssloaders
trackeR,shinydashboard
trackeR,sp
trackeR,testthat
trackeR,knitr
trackeR,rmarkdown
trackit,MASS
trackit,date
TrackReconstruction,fields
TrackReconstruction,RColorBrewer
TrackReconstruction,lattice
TrackReconstruction,onion
TrackReconstruction,plotrix
TrackReconstruction,rgl
TrackReconstruction,scatterplot3d
TrajDataMining,sp
TrajDataMining,trajectories
TrajDataMining,xts
TrajDataMining,spacetime
TrajDataMining,RPostgreSQL
TrajDataMining,geosphere
TrajDataMining,methods
TrajDataMining,rgdal
TrajDataMining,testthat
TrajDataMining,knitr
TrajDataMining,rmarkdown
TrajDataMining,covr
TrajDataMining,ggplot2
TrajDataMining,rgeos
TrajDataMining,magrittr
trajectories,stats
trajectories,utils
trajectories,graphics
trajectories,methods
trajectories,lattice
trajectories,sp
trajectories,spacetime
trajectories,rgdal
trajectories,rgeos
trajectories,rgl
trajectories,OpenStreetMap
trajectories,RCurl
trajectories,rjson
trajectories,adehabitatLT
trajectories,xts
trajr,signal
trajr,utils
trajr,stats
trajr,graphics
trajr,plotrix
trajr,grDevices
trajr,knitr
trajr,rmarkdown
trajr,testthat
trip,methods
trip,sp
trip,maptools
trip,MASS
trip,raster
trip,spatstat
trip,adehabitatLT
trip,knitr
trip,rgdal
trip,testthat
trip,covr
trip,rmarkdown
trip,divemove
trip,argosfilter
TwGeos,grDevices
TwGeos,graphics
TwGeos,stats
TwGeos,utils
TwilightFree,SGAT
TwilightFree,maptools
TwilightFree,polyclip
TwilightFree,viridisLite
TwilightFree,raster
TwilightFree,sp
ukfsst,date
ukfsst,kftrack
ukfsst,ncdf4
VTrack,foreach
VTrack,plotKML
VTrack,sp
VTrack,spacetime
VTrack,doParallel
VTrack,XML
VTrack,intervals
VTrack,gstat
VTrack,Hmisc
VTrack,checkmate
VTrack,gdistance
VTrack,raster
VTrack,plyr
VTrack,lubridate
VTrack,testthat
wildlifeDI,sp
wildlifeDI,rgeos
wildlifeDI,adehabitatLT
wildlifeDI,knitr
wildlifeDI,adehabitatHR
