,package,Year,CRAN,Active,downloads-month,Accelerometry,GLS,Argos,Radio telemetry,Video/image,VMS,Acoustic telemetry,TDR,GPS,Several sources,Pre-processing,Post-processing,Visualization,Description,PathReconstruction,BehavioralPatternIdentification,TrajectorySimulation,SpaceUse,Others,Filtering,Managing,Population,Interaction,Simulation,Environmental-estimation
1,acc,2015,Yes,No,284,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
2,accelerometry,2013,Yes,No,506.5833333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,adehabitatHR,2010,Yes,Yes,1923.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,adehabitatHS,2010,Yes,Yes,738.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,adehabitatLT,2010,Yes,Yes,2489.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0
6,amt,2016,Yes,Yes,56.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
7,animalTrack,2013,Yes,No,245.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,anipaths,2017,Yes,Yes,242.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,argosfilter,2007,Yes,No,360.4166666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,argosTrack,2014,No,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
11,BayesianAnimalTracker,2014,Yes,No,225.3333333333,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,BBMM,2010,Yes,No,319.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,bcpa,2013,Yes,No,281.0833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,bsam,2016,Yes,Yes,329.8333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
15,caribou,2011,Yes,No,176.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,crawl,2008,Yes,No,435.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
17,ctmcmove,2015,Yes,Yes,287.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,ctmm,2015,Yes,Yes,684.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,diveMove,2007,Yes,Yes,922.25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
20,drtracker,2015,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
21,EMbC,2015,Yes,No,201.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,feedR,2016,No,Yes,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
23,FLightR,2015,Yes,Yes,187.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,GeoLight,2012,Yes,No,278.5833333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
25,GGIR,2016,Yes,Yes,1469,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0
26,hab,2013,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,HMMoce,2017,Yes,Yes,131.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,Kftrack,2011,No,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,m2b,2017,Yes,Yes,111.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,marcher,2017,Yes,Yes,113.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,MigrateR,2016,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,mkde,2014,Yes,No,168.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,momentuHMM,2017,Yes,Yes,249.3333,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
34,move,2012,Yes,Yes,895.0833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
35,moveHMM,2015,Yes,Yes,392.5833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
36,movement,2013,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
37,movementAnalysis,2013,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
38,moveNT,2017,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,moveVis,2017,Yes,Yes,239.3333,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,moveWindSpeed,2016,Yes,Yes,143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,nparACT,2015,Yes,Yes,173.3333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
42,pathtrackr,2016,No,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
43,pawacc,2013,Yes,No,145.3333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
44,PhysicalActivity,2010,Yes,No,248.9166666667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
45,probgls,2016,No,No,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,rbl,2015,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,recurse,2017,Yes,Yes,203.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
48,rhr,2014,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,rpostgisLT,2016,Yes,Yes,140.0833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,rsMove,2017,Yes,Yes,129.8333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,SDLfilter,2014,Yes,Yes,14.9166666667,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
52,SGAT,2007,No,Yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,sigloc,2014,Yes,No,142.8333333333,0,0,0,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0
54,SimilarityMeasures,2015,Yes,No,191.9166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
55,SiMRiv,2016,Yes,Yes,207.8333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56,smam,2013,Yes,No,164.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
57,swaRm,2015,No,No,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0
58,SwimR,2013,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
59,T-LoCoH,2013,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,telemetr,2012,No,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,trackdem,2015,Yes,Yes,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
62,trackeR,2015,Yes,Yes,203,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
63,Trackit,2012,No,Yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,TrackReconstruction,2014,Yes,No,168.75,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,TrajDataMining,2017,Yes,Yes,124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
66,trajectories,2014,Yes,Yes,251,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
67,trip,2006,Yes,Yes,349.5833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
68,TwGeos,2013,No,No,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
69,TwilightFree,2017,No,Yes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Ukfsst,2012,No,Yes,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,VTrack,2015,Yes,Yes,196.6666666667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
72,wildlifeDI,2014,Yes,Yes,156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,trajr,2018,Yes,Yes,,,,,,,,,,,,0,0,,,,,,,,,,,,,
